,state,score_sat,participation_%_sat,score_act,participation_%_act,avg_temp
0,alabama,1166,6.0,19.1,100.0,24.365981844242715
1,alaska,1106,43.0,20.8,33.0,28.894559245102727
2,arizona,1149,29.0,19.2,66.0,27.6104276158624
3,arkansas,1169,5.0,19.4,100.0,20.09483994266603
4,california,1076,60.0,22.7,27.0,23.96972049689441
5,colorado,1025,100.0,23.9,30.0,14.198936932632586
6,connecticut,1053,100.0,25.6,26.0,14.866698518872433
7,delaware,998,100.0,23.8,17.0,15.34483994266603
8,florida,1099,56.0,19.9,66.0,23.43009436215958
9,georgia,1064,70.0,21.4,53.0,18.29682274247492
10,hawaii,1010,56.0,18.9,89.0,22.35520186335404
11,idaho,1001,100.0,22.3,36.0,13.497909698996658
12,illinois,1019,99.0,23.9,43.0,14.426899187768752
13,indiana,1074,63.0,22.5,32.0,15.67379359770664
14,iowa,1265,3.0,21.8,68.0,14.041119206880076
15,kansas,1265,4.0,21.6,71.0,17.688365981844242
16,kentucky,1248,4.0,20.2,100.0,26.900531533683708
17,louisiana,1210,4.0,19.2,100.0,16.747163162924032
18,maine,1013,99.0,24.0,7.0,36.12335762064024
19,maryland,1080,76.0,22.5,31.0,17.97984352603918
20,massachusetts,1125,80.0,25.5,25.0,14.977335164835164
21,michigan,1011,100.0,24.2,22.0,12.211568322981368
22,minnesota,1298,4.0,21.3,99.0,10.711538461538462
23,mississippi,1236,3.0,18.6,100.0,23.0187828475872
24,missouri,1262,4.0,20.0,100.0,25.339225991399903
25,montana,1198,10.0,20.0,100.0,16.352096273291927
26,nebraska,1252,3.0,20.1,100.0,16.08943502150024
27,nevada,1140,23.0,17.7,100.0,20.713091256569516
28,new_hampshire,1063,96.0,25.1,16.0,14.567098662207355
29,new_jersey,1094,82.0,23.7,31.0,15.869505494505496
30,new_mexico,1093,16.0,19.4,67.0,23.344690635451503
31,new_york,1068,79.0,24.5,27.0,15.942994505494504
32,north_carolina,1098,52.0,19.1,100.0,20.02296344959388
33,north_dakota,1283,2.0,20.3,98.0,12.63640707118968
34,ohio,1099,18.0,20.3,100.0,14.588300286669853
35,oklahoma,1062,8.0,19.3,100.0,21.194457716196844
36,oregon,1117,48.0,21.3,42.0,16.896768991877686
37,pennsylvania,1086,70.0,23.5,20.0,13.771082178690872
38,rhode_island,1018,97.0,24.2,15.0,14.665731008122314
39,south_carolina,1070,55.0,18.3,100.0,23.936245819398
40,south_dakota,1240,3.0,21.9,77.0,10.737697085523171
41,tennessee,1231,6.0,19.6,100.0,15.400053750597229
42,texas,1032,66.0,20.7,45.0,24.237607501194457
43,utah,1010,4.0,20.4,100.0,9.026964882943142
44,vermont,1120,64.0,24.1,24.0,27.38189799331104
45,virginia,1117,68.0,23.9,24.0,18.046912326803632
46,washington,1081,69.0,22.2,24.0,18.816829909221216
47,west_virginia,999,28.0,20.3,65.0,15.23895126612518
48,wisconsin,1294,3.0,20.5,100.0,10.84436215957955
49,wyoming,1257,3.0,20.0,100.0,12.645066889632108
