,state,avg_temp
0,alabama,24.365981844242715
1,alaska,28.894559245102727
2,arizona,27.6104276158624
3,arkansas,20.09483994266603
4,california,23.96972049689441
5,colorado,14.198936932632586
6,connecticut,14.866698518872433
7,delaware,15.34483994266603
8,florida,23.43009436215958
9,georgia,18.296822742474916
10,hawaii,22.35520186335404
11,idaho,13.497909698996658
12,illinois,14.426899187768752
13,indiana,15.673793597706641
14,iowa,14.041119206880076
15,kansas,17.688365981844242
16,kentucky,26.900531533683708
17,louisiana,16.747163162924032
18,maine,36.123357620640235
19,maryland,17.97984352603918
20,massachusetts,14.977335164835164
21,michigan,12.211568322981368
22,minnesota,10.711538461538462
23,mississippi,23.018782847587197
24,missouri,25.339225991399903
25,montana,16.352096273291927
26,nebraska,16.08943502150024
27,nevada,20.713091256569513
28,new_hampshire,14.567098662207355
29,new_jersey,15.869505494505495
30,new_mexico,23.344690635451506
31,new_york,15.942994505494505
32,north_carolina,20.02296344959388
33,north_dakota,12.63640707118968
34,ohio,14.588300286669853
35,oklahoma,21.194457716196844
36,oregon,16.896768991877686
37,pennsylvania,13.771082178690873
38,rhode_island,14.665731008122314
39,south_carolina,23.936245819397996
40,south_dakota,10.737697085523173
41,tennessee,15.400053750597229
42,texas,24.237607501194457
43,utah,9.026964882943142
44,vermont,27.381897993311036
45,virginia,18.046912326803632
46,washington,18.816829909221216
47,west_virginia,15.23895126612518
48,wisconsin,10.84436215957955
49,wyoming,12.645066889632108
