,state,total,participation_%
0,alabama,1166,6.0
1,alaska,1106,43.0
2,arizona,1149,29.0
3,arkansas,1169,5.0
4,california,1076,60.0
5,colorado,1025,100.0
6,connecticut,1053,100.0
7,delaware,998,100.0
8,district_of_columbia,977,92.0
9,florida,1099,56.0
10,georgia,1064,70.0
11,hawaii,1010,56.0
12,idaho,1001,100.0
13,illinois,1019,99.0
14,indiana,1074,63.0
15,iowa,1265,3.0
16,kansas,1265,4.0
17,kentucky,1248,4.0
18,louisiana,1210,4.0
19,maine,1013,99.0
20,maryland,1080,76.0
21,massachusetts,1125,80.0
22,michigan,1011,100.0
23,minnesota,1298,4.0
24,mississippi,1236,3.0
25,missouri,1262,4.0
26,montana,1198,10.0
27,nebraska,1252,3.0
28,nevada,1140,23.0
29,new_hampshire,1063,96.0
30,new_jersey,1094,82.0
31,new_mexico,1093,16.0
32,new_york,1068,79.0
33,north_carolina,1098,52.0
34,north_dakota,1283,2.0
36,ohio,1099,18.0
35,oklahoma,1062,8.0
37,oregon,1117,48.0
38,pennsylvania,1086,70.0
39,rhode_island,1018,97.0
40,south_carolina,1070,55.0
41,south_dakota,1240,3.0
42,tennessee,1231,6.0
43,texas,1032,66.0
44,utah,1010,4.0
45,vermont,1120,64.0
46,virginia,1117,68.0
47,washington,1081,69.0
48,west_virginia,999,28.0
49,wisconsin,1294,3.0
50,wyoming,1257,3.0
